SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
ENT7_28_W_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	28	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_11_D_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	11	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_17_D_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	17	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_18_W_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	18	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_23_W_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	23	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_24_D_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	24	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_25_D_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	25	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_26_W_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	26	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_27_D_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	27	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT8_28_W_RH	1	ENT8	W	Triticum	CROC_1AESQUARROSA_507	28	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
W01_11_D_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	11	Drought	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_17_D_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	17	Drought	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_18_W_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	18	Control	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_23_W_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	23	Control	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_24_D_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	24	Drought	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_25_D_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	25	Drought	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_26_W_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	26	Control	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W01_27_D_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	27	Drought	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
